ID Number,Name,Fed,Sex,Title,WTit,OTit,FOA,Rating,Gms,K,B-day,Flag
8707200,Kabwe Timothy,ZAM,M,,,,2114,AUG25,8,20,1983,
8700028,"Kafumbwe, Webster",ZAM,M,CM,,,2047,AUG25,0,20,1955,i
8701660,"Kakoma, Davy",ZAM,M,,,,1876,AUG25,0,20,1977,
8719284,Kakomba Victor,ZAM,M,,,,1911,AUG25,0,40,1983,
8704260,"Kalaba, Mutale",ZAM,M,,,,2005,AUG25,0,20,1981,
8708878,Kalandanya Solomon,ZAM,M,,,,1911,AUG25,0,20,1992,i
8715033,Kalinga Nolias,ZAM,M,,,,1899,AUG25,0,20,1972,i
8715041,Kalosa Joe,ZAM,M,,,,1826,AUG25,0,20,1983,i
8714819,Kaluba Yanick,ZAM,M,,,,1819,AUG25,0,20,1999,i
8704759,"Kameya, Robson",ZAM,M,,,,2051,AUG25,14,20,1978,
8706085,Kandangwe Joster,ZAM,M,,,,1959,AUG25,0,20,1982,i
8704279,"Kangwa, Moses",ZAM,M,,,,1889,AUG25,0,20,1986,i
8711283,Kankomba Victor,ZAM,M,,,,1858,AUG25,0,20,1994,
8707219,Kantalamba Mushota,ZAM,M,,,,2047,AUG25,0,20,1993,i
8707103,Kanyanta Frank,ZAM,M,,,,1788,AUG25,0,20,1976,i
8708495,Kanyoka Kennedy,ZAM,M,,,,2055,AUG25,0,20,1999,i
8701431,"Kaoma, Micheal",ZAM,M,,,,2068,AUG25,0,20,1994,i
8730547,Kaonga Christopher,ZAM,M,,,,1621,AUG25,0,40,1993,
8701679,"Kaonga, Allan",ZAM,M,,,,1980,AUG25,6,20,1990,
8710503,Kapalaya Lubosha,ZAM,M,,,,1846,AUG25,0,40,1978,
8724300,Kasonde Arthur,ZAM,M,,,,1806,AUG25,7,40,1974,
8701695,"Katebe, Linus",ZAM,M,,,,2173,AUG25,0,20,1979,
8700370,"Katowa, Kennedy",ZAM,M,,,,2003,AUG25,13,20,1976,
8701709,"Kaulule Siame, Kela",ZAM,M,CM,,,2044,AUG25,0,20,1987,i
8710589,kawesha Innocentia,ZAM,F,,,,1534,AUG25,0,20,2004,w
8700281,"Kayonde, Andrew",ZAM,M,IM,,,2363,AUG25,0,20,1988,i
8730083,Kazimu Daliso,ZAM,F,,,,1734,AUG25,2,40,2007,w
8708320,Kenneth Tembo,ZAM,M,,,,1871,AUG25,0,20,1984,i
8712085,Kunda Eddie,ZAM,M,,,,1809,AUG25,0,40,1986,i
8730890,Kunda Edwin,ZAM,M,,,,1743,AUG25,7,40,1982,
8705097,"Lemmy, Chishala",ZAM,M,,,,2050,AUG25,0,20,1990,
8710805,Lifelo Ryan,ZAM,M,,,,1807,AUG25,0,20,1986,i
8728887,Longwe Nthanda,ZAM,F,,,,1668,AUG25,0,40,2015,w
8711887,Luambula Humphrey,ZAM,M,,,,1937,AUG25,7,20,1964,
8704287,"Luanja, Geoffrey",ZAM,M,FM,,,2256,AUG25,7,20,1988,
8704031,Lungu Tedius,ZAM,M,,,,1910,AUG25,0,20,1985,i
8700052,"Lungu, Nase",ZAM,M,FM,,,2205,AUG25,7,20,1973,
8701733,"Lungu, Nathan",ZAM,M,,,,2091,AUG25,0,40,0,
8719144,Lwenyeka Bupe,ZAM,M,,,,1607,AUG25,0,40,2009,i
8719152,Lwenyeka Tumelo,ZAM,M,,,,1771,AUG25,0,40,2013,
8702233,"Lwenyeka, Brian",ZAM,M,,,,1952,AUG25,0,20,1982,i
8704295,"Lyapa , Chisha",ZAM,M,,,,1898,AUG25,0,20,1978,i
